35 52 31 -1.095317
36 52 31 -0.996415
37 52 31 -1.033008
35 53 31 -0.726201
36 53 31 -0.066771
37 53 31 0.242445
38 53 31 1.051661
35 54 31 -0.006523
36 54 31 1.087609
37 54 31 1.883245
35 51 32 -0.058224
36 51 32 -0.675061
37 51 32 -1.036309
35 52 32 0.559739
36 52 32 -0.100213
37 52 32 -0.429291
38 52 32 1.007612
34 53 32 -0.415996
35 53 32 0.487864
36 53 32 0.245074
37 53 32 0.307585
38 53 32 1.665488
35 54 32 0.435758
36 54 32 0.991351
37 54 32 1.709801
38 54 32 2.552654
35 55 32 0.295245
36 55 32 1.055377
37 55 32 2.182413
35 51 33 1.338651
36 51 33 0.481931
37 51 33 -0.145312
34 52 33 1.259405
35 52 33 2.191434
36 52 33 1.317017
37 52 33 0.669082
38 52 33 1.574922
34 53 33 1.22074
35 53 33 1.895229
36 53 33 1.321694
37 53 33 1.052927
38 53 33 1.847273
34 54 33 0.945951
35 54 33 1.325057
36 54 33 1.540565
37 54 33 1.962453
38 54 33 2.343453
35 55 33 0.899296
36 55 33 1.584872
37 55 33 2.561469
36 51 34 1.553803
37 51 34 0.723897
35 52 34 3.040519
36 52 34 2.744389
37 52 34 2.037812
38 52 34 2.056743
34 53 34 1.648912
35 53 34 2.868106
36 53 34 2.835999
37 53 34 2.500847
38 53 34 2.418976
35 54 34 2.341971
36 54 34 2.677516
37 54 34 2.868933
38 54 34 2.661921
36 55 34 2.549114
37 55 34 3.076627
36 52 35 3.653174
37 52 35 3.403832
35 53 35 2.955179
36 53 35 4.073379
37 53 35 4.166956
36 54 35 3.699369
37 54 35 3.959042
