ID,Trial,multinomial_choice,choice_numeric,correct_incorrect,stake,reward,comp_trials,mystery_trials,value_chosen,value_max,best_value_option
115105,76,A,1,1,50,50,0,0,0.948455756131271,0.948455756131271,1
115105,77,A,1,1,50,50,0,0,0.954542602893784,0.954542602893784,1
115105,78,A,1,1,25,25,0,0,0.959910655456799,0.959910655456799,1
115105,79,A,1,1,25,25,0,0,0.964644796046106,0.964644796046106,1
115105,80,A,1,1,50,50,0,0,0.968819883166848,0.968819883166848,1
115105,81,A,1,1,10,10,0,0,0.972501935302175,0.972501935302175,1
115105,82,A,1,1,10,10,0,0,0.975749174829203,0.975749174829203,1
115105,83,A,1,1,10,10,0,0,0.978612948659217,0.978612948659217,1
115105,84,A,1,0,10,0,0,0,0.969932461072091,0.969932461072091,1
115105,85,A,1,1,25,25,0,0,0.112231314440693,0.973483129163104,1
115105,86,B,2,1,25,25,1,0,0.971334971363615,0.971334971363615,1
115105,87,A,1,1,10,10,0,0,0.974720017367919,0.974720017367919,1
115105,88,A,1,1,10,10,0,0,0.977705324143053,0.977705324143053,1
115105,89,A,1,1,10,10,0,0,0.980338096793802,0.980338096793802,1
115105,90,A,1,1,10,10,0,0,0.98265996598603,0.98265996598603,1
115105,91,A,1,0,10,0,0,0,0.973943580566448,0.973943580566448,1
115105,92,A,1,0,10,0,0,0,0.965304511184369,0.965304511184369,1
115105,93,A,1,0,50,0,0,0,0.95674207203147,0.95674207203147,1
115105,94,A,1,0,50,0,0,0,0.948255583382685,0.948255583382685,1
115105,95,A,1,0,10,0,0,0,0.939844371542239,0.939844371542239,1
115105,96,A,1,1,50,50,0,0,0.946948134539667,0.946948134539667,1
115105,97,A,1,1,10,10,0,0,0.953213015955813,0.953213015955813,1
115105,98,A,1,1,50,50,0,0,0.958738079105102,0.958738079105102,1
115105,99,A,1,1,10,10,0,0,0.963610688940136,0.963610688940136,1
115105,100,A,1,0,50,0,0,0,0.955063274320672,0.955063274320672,1
115105,101,A,1,1,25,25,0,0,0.960369840926165,0.960369840926165,1
115105,102,A,1,0,25,0,0,0,0.951851173260228,0.951851173260228,1
115105,103,A,1,0,25,0,1,0,0.943408067836785,0.943408067836785,1
115105,104,A,1,0,50,0,0,0,0.935039854404016,0.935039854404016,1
115105,105,A,1,0,25,0,0,0,0.926745868655367,0.926745868655367,1
115105,106,A,1,0,50,0,0,0,0.918525452176815,0.918525452176815,1
115105,107,A,1,1,25,25,0,0,0.928146760986927,0.928146760986927,1
115105,108,A,1,0,25,0,0,1,0.919913918320358,0.919913918320358,1
115105,109,A,1,0,10,0,0,0,0.91175410257283,0.91175410257283,1
115105,110,A,1,0,25,0,0,0,0.903666665981337,0.903666665981337,1
115105,111,A,1,0,50,0,0,0,0.89565096652866,0.89565096652866,1
115105,112,A,1,0,10,0,0,0,0.0938499713834372,0.887706367892395,1
115105,113,C,3,0,50,0,0,0,0.885747491255792,0.885747491255792,1
115105,114,A,1,0,50,0,0,0,0.877890738375393,0.877890738375393,1
115105,115,A,1,0,25,0,0,0,0.870103676424331,0.870103676424331,1
115105,116,A,1,0,10,0,0,0,0.0924030843480976,0.862385687230481,1
115105,117,C,3,0,50,0,1,0,0.860482685026647,0.860482685026647,1
115105,118,A,1,0,50,0,0,0,0.852850035901634,0.852850035901634,1
115105,119,A,1,0,50,0,0,0,0.845285089861969,0.845285089861969,1
115105,120,A,1,0,25,0,0,0,0.201361040444667,0.837787246368091,1
115105,121,B,2,0,10,0,0,0,0.835938524850805,0.835938524850805,1
115105,122,A,1,0,25,0,0,0,0.828523587210229,0.828523587210229,1
115105,123,A,1,1,50,50,0,0,0.848773193561909,0.848773193561909,1
115105,124,A,1,1,50,50,0,0,0.86663152900509,0.86663152900509,1
115105,125,A,1,1,10,10,0,0,0.88238097811844,0.88238097811844,1
115105,126,A,1,1,25,25,0,1,0.896270578756933,0.896270578756933,1
115105,127,A,1,1,25,25,0,0,0.908519959958036,0.908519959958036,1
115105,128,A,1,0,10,0,0,0,0.900461210841874,0.900461210841874,1
115105,129,A,1,1,25,25,0,0,0.912215721356659,0.912215721356659,1
115105,130,A,1,1,25,25,0,0,0.922582144688439,0.922582144688439,1
115105,131,A,1,1,10,10,0,0,0.931724399702675,0.931724399702675,1
115105,132,A,1,1,50,50,0,0,0.939787048127333,0.939787048127333,1
115105,133,A,1,1,25,25,0,0,0.946897580432373,0.946897580432373,1
115105,134,A,1,1,10,10,0,0,0.953168431770303,0.953168431770303,1
115105,135,A,1,1,50,50,0,0,0.193497038405466,0.958698759854819,1
115105,136,B,2,0,10,0,1,0,0.956583226306627,0.956583226306627,1
115105,137,A,1,1,25,25,0,0,0.961710302165326,0.961710302165326,1
115105,138,A,1,1,25,25,0,0,0.966231922928571,0.966231922928571,1
115105,139,,0,0,50,0,0,0,0.966231922928571,0.966231922928571,1
115105,140,A,1,1,10,10,0,0,0.190513890386149,0.970219586635928,1
115105,141,B,2,0,50,0,0,0,0.968078630403804,0.968078630403804,1
115105,142,A,1,1,25,25,0,0,0.971848216891025,0.971848216891025,1
115105,143,A,1,1,25,25,0,0,0.975172653860403,0.975172653860403,1
115105,144,A,1,1,25,25,0,0,0.978104508906264,0.978104508906264,1
115105,145,A,1,1,10,10,0,0,0.980690141928972,0.980690141928972,1
115105,146,A,1,0,10,0,0,0,0.971991229232697,0.971991229232697,1
115105,147,A,1,1,50,50,0,0,0.975298777910705,0.975298777910705,1
115105,148,A,1,1,10,10,0,0,0.978215738999265,0.978215738999265,1
115105,149,A,1,1,10,10,0,0,0.980788236888336,0.980788236888336,1
115105,150,A,1,1,25,25,0,1,0.983056949150295,0.983056949150295,1
115105,151,A,1,0,50,0,0,0,0.974337042412673,0.974337042412673,1
115105,152,A,1,0,50,0,0,0,0.965694482947332,0.965694482947332,1
115105,153,A,1,1,10,10,0,0,0.183884164134028,0.969745612806568,1
115105,154,B,2,1,25,25,1,0,0.28025907742265,0.967605702479142,1
115105,155,,0,0,10,0,0,0,0.967605702479142,0.967605702479142,1
115105,156,A,1,0,10,0,0,0,0.959022851310955,0.959022851310955,1
115105,157,A,1,0,25,0,0,0,0.0842092190087695,0.950516131705435,1
115105,158,C,3,1,50,50,0,0,0.948418654532288,0.948418654532288,1
115105,159,A,1,0,25,0,0,1,0.940005996218962,0.940005996218962,1
115105,160,A,1,0,50,0,0,0,0.277180495220423,0.93166795982451,1
115105,161,B,2,0,50,0,0,0,0.929612074381326,0.929612074381326,1
115105,162,A,1,0,25,0,0,0,0.921366234099358,0.921366234099358,1
115105,163,A,1,0,50,0,0,0,0.913193536027813,0.913193536027813,1
115105,164,A,1,1,50,50,0,0,0.923444489471615,0.923444489471615,1
115105,165,A,1,0,25,0,0,0,0.915253356869863,0.915253356869863,1
115105,166,A,1,0,50,0,0,0,0.27170409318405,0.907134881210749,1
115105,167,B,2,1,10,10,1,0,0.90513313222108,0.90513313222108,1
115105,168,A,1,0,10,0,0,0,0.356919028202365,0.897104424927041,1
115105,169,B,2,0,25,0,0,0,0.89512480986271,0.89512480986271,1
115105,170,A,1,0,25,0,0,0,0.352972469886331,0.88718487833862,1
115105,171,B,2,1,10,10,0,0,0.885227152458326,0.885227152458326,1
115105,172,A,1,0,10,0,0,0,0.877375015084475,0.877375015084475,1
115105,173,A,1,0,50,0,0,0,0.869592527699519,0.869592527699519,1
115105,174,A,1,0,10,0,0,0,0.86187907249448,0.86187907249448,1
115105,175,A,1,0,25,0,0,0,0.85423403714047,0.85423403714047,1
115105,176,A,1,0,50,0,0,0,0.846656814740074,0.846656814740074,1
115105,177,A,1,0,25,0,0,0,0.839146803779176,0.839146803779176,1
115105,178,,0,0,50,0,0,0,0.839146803779176,0.839146803779176,1
115105,179,A,1,1,25,25,0,0,0.85814191716468,0.85814191716468,1
115105,180,A,1,0,25,0,0,0,0.85053003110682,0.85053003110682,1
115105,181,A,1,0,25,0,0,1,0.842985663961856,0.842985663961856,1
115105,182,A,1,0,50,0,0,0,0.419998320434062,0.835508216823872,1
115105,183,B,2,0,50,0,0,0,0.833664524376885,0.833664524376885,1
115105,184,A,1,0,25,0,0,0,0.826269757563718,0.826269757563718,1
115105,185,A,1,0,50,0,0,0,0.81894058377343,0.81894058377343,1
115105,186,A,1,0,10,0,0,0,0.811676421183124,0.811676421183124,1
115105,187,A,1,0,25,0,0,0,0.412610687267791,0.804476693130786,1
115105,188,B,2,0,10,0,0,0,0.802701477073018,0.802701477073018,1
115105,189,A,1,0,10,0,0,0,0.795581358524161,0.795581358524161,1
115105,190,A,1,0,10,0,0,0,0.407147901197394,0.78852439681455,1
115105,191,B,2,1,50,50,0,0,0.78678438223971,0.78678438223971,1
115105,192,A,1,0,25,0,0,0,0.476104725709308,0.77980545142428,1
115105,193,B,2,1,10,10,0,0,0.537971386559614,0.778084676700632,1
115105,194,,0,0,50,0,0,0,0.778084676700632,0.778084676700632,1
115105,195,A,1,1,50,50,0,0,0.804290601277135,0.804290601277135,1
115105,196,A,1,1,50,50,0,0,0.827401874827746,0.827401874827746,1
115105,197,A,1,0,25,0,0,0,0.820062658936676,0.820062658936676,1
115105,198,A,1,0,50,0,0,0,0.533238575819729,0.812788543320979,1
115105,199,B,2,0,25,0,0,0,0.810994985737529,0.810994985737529,1
115105,200,A,1,0,50,0,0,0,0.527342400582362,0.803801302150406,1
115105,201,B,2,0,25,0,0,0,0.80202757645889,0.80202757645889,1
115105,202,A,1,0,25,0,0,1,0.794913435539824,0.794913435539824,1
115105,203,,0,0,25,0,0,0,0.794913435539824,0.794913435539824,1
115105,204,A,1,0,10,0,0,0,0.787862398437263,0.787862398437263,1
115105,205,A,1,0,10,0,0,0,0.780873905408054,0.780873905408054,1
115105,206,A,1,1,10,10,0,0,0.806750450669751,0.806750450669751,1
115105,207,A,1,0,50,0,0,0,0.516923417117749,0.799594416935942,1
115105,208,B,2,0,25,0,0,0,0.797829974459527,0.797829974459527,1
115105,209,A,1,0,25,0,0,0,0.790753067088312,0.790753067088312,1
115105,210,A,1,0,10,0,0,0,0.783738933264775,0.783738933264775,1
115105,211,A,1,0,10,0,0,0,0.508953997634014,0.776787016175313,1
115105,212,B,2,1,50,50,0,0,0.775072902147705,0.775072902147705,1
115105,213,A,1,0,50,0,0,0,0.768197854443268,0.768197854443268,1
115105,214,A,1,0,25,0,0,0,0.564442149250668,0.761383789751924,1
115105,215,B,2,0,10,0,0,0,0.759703665590176,0.759703665590176,1
115105,216,A,1,0,25,0,0,0,0.752964946009483,0.752964946009483,1
115105,217,A,1,1,50,50,0,0,0.782137253249819,0.782137253249819,1
115105,218,A,1,0,25,0,0,1,0.775199543374259,0.775199543374259,1
115105,219,A,1,0,50,0,0,0,0.554513796351695,0.768323372337461,1
115105,220,B,2,0,50,0,0,0,0.766627934794301,0.766627934794301,1
115105,221,A,1,0,10,0,0,0,0.759827795596221,0.759827795596221,1
115105,222,A,1,0,50,0,0,0,0.753087974958181,0.753087974958181,1
115105,223,A,1,0,25,0,0,0,0.545964845179614,0.746407937842798,1
115105,224,B,2,0,25,0,0,0,0.167363356700766,0.74476086047161,1
115105,225,C,3,0,10,0,1,0,0.743117417659661,0.743117417659661,1
115105,226,A,1,0,25,0,0,0,0.538736508049224,0.736525821330786,1
115105,227,B,2,0,10,0,0,0,0.73490055054774,0.73490055054774,1
115105,228,A,1,1,10,10,0,0,0.766206077693544,0.766206077693544,1
115105,229,A,1,0,25,0,0,0,0.531603870959105,0.759409680450168,1
115105,230,B,2,0,25,0,0,0,0.757733912499809,0.757733912499809,1
115105,231,A,1,0,10,0,0,0,0.525725771132551,0.751012665012935,1
115105,232,B,2,0,10,0,0,0,0.749355426520009,0.749355426520009,1
115105,233,A,1,0,50,0,0,0,0.519912667178787,0.742708497836749,1
115105,234,B,2,0,10,0,0,0,0.741069583915615,0.741069583915615,1
115105,235,A,1,0,25,0,0,0,0.734496152271173,0.734496152271173,1
115105,236,A,1,1,50,50,0,0,0.161896502378049,0.765849434707496,1
