Weight	Nested	Procedure	Arew	Brew	Crew	topstim	leftstim	rightstim	reinforced1	reinforced2	reinforced3	jitter1	jitter2	compresp	repeatstim
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3299	2880	3	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	3672	2609	2	
1		doubleproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	2599	5564	7	
1		normalproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	2238	1788	3	
1		halfproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	2331	1547	2	
1		halfproc	1	1	0	A.bmp	C.bmp	B.bmp	7	0	3	2772	1871	7	
1		doubleproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	5981	1974	3	
1		mystnorm	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	4416	1839	2	
1		doubleproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	5221	1918	7	
1		doubleproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	2997	1756	3	
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3221	1892	2	
1		normalproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	5636	1532	7	
1		doubleproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	10351	4792	3	
1		halfproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	2519	2889	2	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2536	2564	7	
1		halfproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	3730	3532	3	
1		halfproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	7736	6447	2	
1		normalproc	1	1	0	C.bmp	B.bmp	A.bmp	0	2	3	3070	1539	7	
1		compnorm	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	6938	3474	3	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2633	4366	2	
1		halfproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3254	4367	7	
1		halfproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	4748	2025	3	
1		halfproc	1	1	0	A.bmp	B.bmp	C.bmp	7	2	0	2173	2947	2	
1		halfproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2554	5357	7	
1		halfproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2240	2834	3	
1		doubleproc	0	1	0	C.bmp	B.bmp	A.bmp	0	2	0	7353	4417	2	
1		doubleproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	5391	1837	7	
1		halfproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	3294	5058	3	
1		doubleproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	2723	9534	2	
1		halfproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	7873	2268	7	
1		doubleproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3379	2082	3	
1		halfproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	3709	3558	2	
1		doubleproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2985	1756	7	
1		BreakProc1													
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	5496	1979	3	
1		normalproc	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	2799	6926	2	
1		compnorm	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	2610	1608	7	
1		doubleproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2305	1901	3	
1		normalproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	2312	3336	2	
1		doubleproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	3927	1866	7	
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	3132	2208	3	
1		mystnorm	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	7806	2834	2	
1		halfproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2342	6528	7	
1		normalproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	2213	2854	3	
1		doubleproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	2126	3581	2	
1		halfproc	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	2408	2598	7	
1		doubleproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	14204	1690	3	
1		doubleproc	0	1	0	A.bmp	B.bmp	C.bmp	0	2	0	12559	3406	2	
1		normalproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2505	2146	3	
1		halfproc	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	4689	6961	2	
1		compdouble	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	10562	4295	7	
1		doubleproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	3716	1772	3	
1		doubleproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	4151	3953	2	
1		normalproc	0	1	0	C.bmp	B.bmp	A.bmp	0	2	0	3227	1780	7	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2153	3127	3	
1		normalproc	0	1	0	A.bmp	B.bmp	C.bmp	0	2	0	4418	2098	2	
1		doubleproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	4169	5924	7	
1		doubleproc	1	1	0	A.bmp	B.bmp	C.bmp	7	2	0	2303	1963	3	
1		halfproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	4155	2541	2	
1		mystnorm	1	1	0	C.bmp	B.bmp	A.bmp	0	2	3	5959	1588	7	
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3355	3358	3	
1		halfproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2309	2965	2	
1		normalproc	1	1	0	C.bmp	B.bmp	A.bmp	0	2	3	3913	4761	7	
1		normalproc	1	1	0	C.bmp	B.bmp	A.bmp	0	2	3	2726	1554	3	
1		halfproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	2931	2757	2	
1		doubleproc	1	1	0	A.bmp	C.bmp	B.bmp	7	0	3	3211	1537	7	
1		normalproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	3495	2000	3	
1		halfproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	2103	2519	2	
1		doubleproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	6966	3172	7	
1		comphalf	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	4547	1924	3	
1		normalproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	3610	1769	2	
